,year,cap_areaN[km^2],zone_areaN[km^2],cap_areaS[km^2],zone_areaS[km^2],centroid_latsN[deg],centroid_latsS[deg],centroid_lonsN[deg],centroid_lonsS[deg]
0,1900.0,16467399.285022978,8766272.761211809,14828218.689568706,8374079.8867871985,79.69614220057531,-76.33880068486997,-78.16511002937196,123.47867035023019
1,1905.0,16442434.123516727,8755878.116662778,14837357.631155914,8388434.305119852,79.72670193994371,-76.2765303005074,-78.24208745755847,123.77317250886851
2,1910.0,16433834.197174108,8752921.358137002,14836536.00712882,8398734.270579536,79.75621478394467,-76.19101161877218,-78.30922405006746,124.03652873277038
3,1915.0,16441070.37330992,8757472.055451127,14824445.691906635,8402933.196164899,79.80763553936448,-76.08624367529117,-78.17987394113588,124.34340270993714
4,1920.0,16449529.93608562,8762481.7432687,14804157.716914264,8402822.970189223,79.87546709016144,-75.96898621121028,-77.96253469229936,124.64425082721125
5,1925.0,16448678.62502784,8763518.729537189,14787288.294006275,8405235.156440007,79.96358895862532,-75.8405662861631,-77.84616110566284,124.84757579545604
6,1930.0,16459783.882718945,8766803.519440489,14767902.429435972,8405406.559476055,80.0378726226258,-75.67748174108678,-77.76176261416502,124.8975760790297
7,1935.0,16471740.412078395,8768022.52964414,14754783.809126774,8409129.453161733,80.10456838467292,-75.51079976491998,-77.7150511753236,124.77272241805696
8,1940.0,16469042.764042517,8760630.51613043,14752580.82605982,8418285.0841136,80.17288788324541,-75.34360675141049,-77.67655087744848,124.56507202469037
9,1945.0,16437132.45461109,8746282.579870898,14755797.800084021,8449628.420990363,80.28300546998507,-75.16943476726388,-77.60948703399383,124.37583212895977
10,1950.0,16400149.251819404,8727402.336255742,14725360.003833024,8445393.252155276,80.38618518563855,-74.99731997446199,-77.81972842942183,124.09577281883892
11,1955.0,16346328.627381518,8694911.662395436,14739160.92906858,8453239.558640279,80.46366548203729,-74.86079837934768,-78.04004916324614,123.87573576261585
12,1960.0,16258844.980414696,8648527.907201666,14759764.877600046,8461624.896945184,80.58810792755799,-74.76852794322541,-78.3350313027324,123.66277777064519
13,1965.0,16181204.34506333,8599598.012240076,14794461.867918627,8487567.813173013,80.67170633395716,-74.69664886644568,-78.68084983524489,123.41493876334219
14,1970.0,16059810.892975563,8544721.096702864,14830244.517246317,8515372.818481661,80.76914164305883,-74.63679213649878,-79.04181346996732,123.29393329240811
15,1975.0,15933245.474577576,8487349.737656329,14874022.813172828,8547732.143050171,80.9037853893694,-74.61960927640956,-79.44460403744853,123.29290813004079
16,1980.0,15863038.258313496,8453307.458281927,14914718.948865661,8578865.436459666,81.10956230335431,-74.60819607430925,-79.93167156622495,123.27359204382549
17,1985.0,15826616.999739477,8429424.861775672,14941740.67964294,8600442.181276275,81.35896767410723,-74.63052065757442,-80.31885696156544,123.35883681673144
18,1990.0,15811622.69909159,8416439.567428892,14951777.480435263,8613969.54035598,81.60689421627319,-74.6523469321272,-80.74845149816844,123.30296998640843
19,1995.0,15786634.976665413,8401537.815795032,14965387.330802888,8642517.762944728,81.87852991155204,-74.69569753784258,-81.23615534168273,123.19284943074737
20,2000.0,15744216.919582045,8378614.879638778,14972844.269889427,8657905.639754558,82.21128567796524,-74.75727480651749,-81.56467680095493,123.07536741393832
21,2005.0,15687094.479903104,8352284.549001446,14986984.45819635,8677224.596248679,82.52625465249767,-74.82418388838894,-81.89237747808919,122.84305618542008
22,2010.0,15641465.950840244,8331235.63028135,15003802.592602216,8699073.365643244,82.88776016427457,-74.95993358694939,-82.50189216564374,122.56470458817363
23,2015.0,15610894.357300991,8316368.169535821,15006909.012928387,8712489.702578532,83.29380179181827,-75.09695133584964,-83.16516260506037,122.29552294655578
24,2020.0,15579847.304208694,8300944.756788043,15017315.647759447,8725038.59809287,83.70103543665326,-75.20130105899486,-83.2012928780446,122.16413796449508
